role_search,title,company,location,area,created,description,category,contract_type,contract_time,salary_min,salary_max,redirect_url,country,region,city,has_sql,has_excel,has_python,has_r_,has_power_bi,has_tableau,has_azure,has_aws,salary_avg,years_exp,has_r_programming
business analyst,Business Analyst Trainee,ITOL Recruit,UK,['UK'],2025-11-03T13:14:09Z,"Are you looking to start a career as a Business Analyst (BA) and need tailored recruitment support and the right qualifications to secure your career? A business analyst is a problem solver who for example investigates an issue or area of weakness within an organisation, analyses solutions and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career in this rewarding sector will suit you. Demand for junior…",IT Jobs,permanent,full_time,26000.0,39000.0,https://www.adzuna.co.uk/jobs/land/ad/5478196079?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=9F20018BCDC91878896B69DFBB2B57C21BC4CE35,UK,UK,,False,False,False,True,False,False,False,False,32500.0,,False
business analyst,Business Analyst Trainee,ITOL Recruit,"Liverpool, Merseyside","['UK', 'North West England', 'Merseyside', 'Liverpool']",2025-11-11T11:38:36Z,"Are you looking to start a career as a Business Analyst (BA) and need tailored recruitment support and the right qualifications to secure your career? A business analyst is a problem solver who for example investigates an issue or area of weakness within an organisation, analyses solutions and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career in this rewarding sector will suit you. Demand for junior…",IT Jobs,permanent,full_time,26000.0,35000.0,https://www.adzuna.co.uk/jobs/land/ad/5490358293?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=A3348526577FC011C89795031E889298C0F2127A,UK,North West England,Liverpool,False,False,False,True,False,False,False,False,30500.0,,False
business analyst,Business Analyst,Ocho,"Antrim, County Antrim","['UK', 'Northern Ireland', 'County Antrim', 'Antrim']",2025-10-28T04:00:38Z,"Job description Business Analyst - SaaS Location: Hybrid (Co. Antrim) Contract type: Permanent Eligibility: UK work authorisation required (no sponsorship available) Our client is looking for a proactive SaaS Business Analyst to join the Onboarding team. In this role, you'll be the link between customers and delivery teams, making sure onboarding runs smoothly, processes are efficient, and clients get the best possible start with their new platform. If you enjoy turning complex requirements int…",IT Jobs,permanent,,45000.0,45000.0,https://www.adzuna.co.uk/jobs/land/ad/5467211806?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=A942F77427C933372EC8DABDCFCC29BF4525D8ED,UK,Northern Ireland,Antrim,False,False,False,True,False,False,False,False,45000.0,,False
business analyst,Business Analyst,Ocho,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",2025-11-12T03:48:12Z,"Business Analyst - Belfast (Hybrid) Are you a skilled Business Analyst with a passion for driving change and improving business processes? Do you thrive in dynamic environments where collaboration, innovation, and delivery excellence are at the heart of every project? My client, a leading organisation within the energy sector, is seeking a talented Business Analyst to join their Projects team. You'll play a pivotal role in shaping and delivering high-impact initiatives across the business, work…",IT Jobs,permanent,full_time,40000.0,40000.0,https://www.adzuna.co.uk/jobs/land/ad/5491452150?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=DC4951FD7FE3AC7B8DE3B528273FB047CE98F6FA,UK,Northern Ireland,Belfast,False,True,False,True,False,False,False,False,40000.0,,False
business analyst,Business Analyst,MCS Group,"Ballymena, Northern Ireland","['UK', 'Northern Ireland', 'Ballymena']",2025-10-31T03:48:52Z,"MCS Group are supporting a large public sector organisation in Ballymena to recruit Business Analysts to support the design, configuration and implementation of HR and Payroll modules within their new ERP system. This is an excellent opportunity to build on your experience within the public sector, in an organisation with a good culture and hybrid working arrangements. As a Business Analyst, you will work within the Business Systems Team, working directly with Service Leads, End-users, IT colle…",IT Jobs,contract,,39133.0,39133.0,https://www.adzuna.co.uk/jobs/land/ad/5471951159?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=01D21FA731C67E0E19B42E24CF5AEA2F8FBF5410,UK,Northern Ireland,Ballymena,False,True,False,True,False,False,False,False,39133.0,,False
business analyst,Business Analyst,CHM,"London, UK","['UK', 'London']",2025-11-18T19:36:23Z,"Role Title: Business Analyst Contract: Fixed-term, 12 months Salary: £42,000 per annum Place of Work: British Society for Haematology (BSH) Headquarters, 100 White Lion Street, London, N1 9PF (hybrid working, with occasional on-site meetings) Hours: Full-time, 35 hours (normally 9am-5pm, with an hour unpaid for lunch). About Us The British Society for Haematology (BSH) is the largest UK multidisciplinary Haematology Society with over 3,000 members. Our activities include running education event…",IT Jobs,contract,full_time,42000.0,42000.0,https://www.adzuna.co.uk/jobs/land/ad/5502381522?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=801289C4E90683C042BB11FA976657B8BAB6DE50,UK,London,London,False,False,False,True,False,False,False,False,42000.0,,False
business analyst,eDV Business Analyst,Morson Edge,"Leckhampton, Cheltenham","['UK', 'South West England', 'Gloucestershire', 'Cheltenham', 'Leckhampton']",2025-10-14T11:15:44Z,"Job Title: eDV Business Analyst Engagement Type: Inside IR35, as a PAYE on-Payroll Location: Cheltenham (3–4 days per week on site) Start Date: ASAP Duration: 12 months Hours: 30–37.5 per week Rate: £85–£92 per hour Qualification: SFIA Level 4/5 Expenses: No Notice Period (Contractor): 3 months Notice Period (My Client): 1 month Vetting Level: MUST be eligible for eDV Clearance Please do not apply otherwise, as your appilication will not be considered. Overview My Client is seeking an experienc…",IT Jobs,contract,,176800.0,193440.0,https://www.adzuna.co.uk/jobs/land/ad/5446811262?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=9994787A6CB529A24CE7BB27CADDEC77644CBB7E,UK,South West England,Leckhampton,False,False,False,True,False,False,False,False,185120.0,,False
business analyst,Technical Business Analyst,Saga Group,"Sandgate, Folkestone","['UK', 'South East England', 'Kent', 'Folkestone', 'Sandgate']",2025-11-18T09:49:56Z,"Technical Business Analyst Salary £37,000 - £43,000 Permanent Folkestone Hybrid Here at Saga, were looking for a Technical Business Analyst to come on board our Enterprise Application Development team. Your initial projects will include working across our high-profile Insurance transition, as well as being integral in the new partnership development in our Money business. Youll be progressing your career within an integral part of Sagas Technology Community, where youll be focused on understand…",IT Jobs,permanent,,100000.0,100000.0,https://www.adzuna.co.uk/jobs/land/ad/5501568431?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=7F5D87E74548DBEBFEFA48A2175310C122407A31,UK,South East England,Sandgate,False,False,False,True,False,False,False,False,100000.0,,False
business analyst,Business Analyst,EightMoose.com,"Milton Keynes, Buckinghamshire","['UK', 'South East England', 'Buckinghamshire', 'Milton Keynes']",2025-11-19T18:48:52Z,"Our client, a respected consultancy firm working across multiple industries, is seeking an ambitious and driven Business Analyst to join their team. This entry-level role is ideal for individuals interested in how organisations operate and how insights and process improvements drive performance and efficiency. As a Business Analyst, youll work closely with colleagues and clients to analyse business operations, evaluate existing processes, and support projects that deliver measurable results. Th…",Consultancy Jobs,permanent,,28000.0,28000.0,https://www.adzuna.co.uk/jobs/land/ad/5503745689?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=07A98686F75CA7483B0F1972994864886C790894,UK,South East England,Milton Keynes,False,False,False,True,False,False,False,False,28000.0,,False
business analyst,Business Analyst,EightMoose.com,"Leicester, Leicestershire","['UK', 'East Midlands', 'Leicestershire', 'Leicester']",2025-11-19T18:48:52Z,"Our client, a respected consultancy firm working across multiple industries, is seeking an ambitious and driven Business Analyst to join their team. This entry-level role is ideal for individuals interested in how organisations operate and how insights and process improvements drive performance and efficiency. As a Business Analyst, youll work closely with colleagues and clients to analyse business operations, evaluate existing processes, and support projects that deliver measurable results. Th…",Consultancy Jobs,permanent,,28000.0,28000.0,https://www.adzuna.co.uk/jobs/land/ad/5503745685?se=ZqUoGovF8BG8r4BHwuTYvQ&utm_medium=api&utm_source=ca4e041d&v=D407C9A17FC87073F58658D824B16C77EC5625CB,UK,East Midlands,Leicester,False,False,False,True,False,False,False,False,28000.0,,False
